username,languageName,problemsSolved
ponderzsm,Python,29
ponderzsm,MySQL,2
ponderzsm,Python3,2
Shiba-You,Python3,41
IvanFan09,Python3,60
kUkTeRhYq0,Java,2
chunky123,Java,1
chunky123,Python,2
chunky123,Python3,26
sngkhiem,C++,21
ajitrawat1999,C++,823
ajitrawat1999,Java,285
ajitrawat1999,MySQL,4
saumayrustagi,C++,60
saumayrustagi,Java,4
JEEVITHA_VENKATACHALAM,Java,11
ajaykumar7,Java,46
ajaykumar7,Python,8
ajaykumar7,MySQL,10
ajaykumar7,C,8
ajaykumar7,Python3,297
SnowTree,C++,104
SnowTree,Java,38
SnowTree,Python,20
SnowTree,C,25
SnowTree,Scala,1
tahakhaksari,JavaScript,10
omkarbajaj073,C++,16
omkarbajaj073,Java,2
ashik0082,C++,186
kalos_,Python,7
kalos_,MySQL,1
kalos_,Python3,2
Konsy,C++,126
Konsy,Java,19
20R01A05A7,Java,33
20R01A05A7,Python,28
20R01A05A7,Python3,52
amansri12,C++,218
amansri12,Java,1
amansri12,MySQL,10
shrijanshrey,C++,180
ThatSlurpGuy,Python,14
ThatSlurpGuy,Python3,2
smukherjee27,Python3,28
miobingo,C++,7
miobingo,Java,1
miobingo,Python3,2
sophmliu,C++,1
Aman020725,C++,99
plummet,Java,189
anandshukla,Java,1
anandshukla,MySQL,11
anandshukla,C#,394
anandshukla,JavaScript,1
saloni22063,C++,105
saloni22063,MySQL,10
saloni22063,Python3,1
omcharhate45,C++,129
omcharhate45,MySQL,49
krkeco,C++,1
krkeco,JavaScript,2
krkeco,TypeScript,3
marystuartelder,C++,14
marystuartelder,Java,5
ramster00,C++,2
ramster00,Java,4
ramster00,Python,26
ramster00,Python3,361
SHLOKKHAIRNAR,C++,292
SHLOKKHAIRNAR,Java,32
SHLOKKHAIRNAR,Python,1
SHLOKKHAIRNAR,MySQL,1
SHLOKKHAIRNAR,JavaScript,1
SHLOKKHAIRNAR,Bash,2
SHLOKKHAIRNAR,Python3,5
Priyanko94,C++,1274
Priyanko94,Java,4
Priyanko94,MySQL,5
heliy,Python,196
heliy,C,1
heliy,Python3,4
koletilikhith,C++,425
koletilikhith,MySQL,5
kanojiaD,C++,1
kanojiaD,Java,207
praveenmuthu511,Java,268
silpi_kumar21,Java,5
silpi_kumar21,Python3,3
Piyushsharmaa9909,C++,539
Piyushsharmaa9909,Java,1
Piyushsharmaa9909,Python,3
Piyushsharmaa9909,Python3,2
keshavmantry01,C++,223
justachillcoder___,C++,2
justachillcoder___,Python,6
justachillcoder___,Python3,145
matangans,Java,3
matangans,Python,69
matangans,MySQL,1
matangans,Python3,32
34dGZjSUFQ,C++,165
34dGZjSUFQ,MySQL,22
919dUCyB7j,C++,131
919dUCyB7j,MySQL,8
919dUCyB7j,C,1
abratash,Python3,2
mkrahulsaini,C++,145
mkrahulsaini,JavaScript,3
Catabolic_Neuron,C++,166
Catabolic_Neuron,Python3,1
pranaykhandelwal10,C++,414
pranaykhandelwal10,MySQL,29
NoobM07,C++,6
yanglisde,Java,327
yanglisde,JavaScript,7
yanglisde,Bash,1
yanglisde,Python3,1
yanglisde,Oracle,1
AnjanKundu29,Python3,3
ratdog45,Java,30
ratdog45,Python3,36
ratdog45,TypeScript,4
Vasundarach14,C++,2
Vasundarach14,Python,1
Vasundarach14,Python3,1
tajiloc423,Python3,1
sanndy9,Java,5
Nabiha_Z,C++,11
Nabiha_Z,JavaScript,16
Nabiha_Z,Python3,29
VanjarapuTrinath,C++,2
VanjarapuTrinath,Java,36
VanjarapuTrinath,Python,5
VanjarapuTrinath,Python3,111
0SRo0HtysL,C++,329
0SRo0HtysL,Java,6
0SRo0HtysL,Python,2
0SRo0HtysL,MySQL,2
vaishnavinvvr,C++,221
vaishnavinvvr,MySQL,2
Fked,C++,62
Fked,MySQL,1
Chaitanya_Kadali,C++,244
Chaitanya_Kadali,Java,1
Chaitanya_Kadali,Python,1
Chaitanya_Kadali,MySQL,3
Chaitanya_Kadali,Python3,18
vishnu18ro,C++,3
vishnu18ro,Python3,49
dbsalsdn,Java,185
avantikaag29h4,C++,3
uditsarkar,C++,245
bejuzb0,C++,192
bejuzb0,JavaScript,1
Kaamal,Java,4
harish_10v,C++,1
harish_10v,Java,483
harish_10v,MySQL,35
iamsmit,C++,12
calcudimen,Python,1
calcudimen,Python3,63
sharmakomal1729,C++,20
sharmakomal1729,Python3,5
priyanka76,Java,34
priyanka76,Python3,45
geeta1234,C++,3
geeta1234,Java,24
quets,C++,71
quets,Java,2
quets,Python,4
quets,Swift,82
vaiebhavpatilof2002,Java,105
vaiebhavpatilof2002,Bash,1
kanhaiya54,C++,16
kanhaiya54,Java,6
vladixus,Go,8
Asmitha18,C++,6
Asmitha18,Java,2
Asmitha18,Python3,2
Suriya03,Python,8
Suriya03,Python3,267
Suriya03,Pandas,4
yxm0621,C++,60
yxm0621,Java,1
yxm0621,JavaScript,1
Shivam1974,Python,2
Shivam1974,Python3,268
sdawn,C++,28
sdawn,C,3
sdawn,JavaScript,1
sdawn,Python3,5
elbujito,C++,479
elbujito,Java,3
elbujito,MySQL,10
elbujito,Go,15
elbujito,TypeScript,1
ip192,MySQL,1
keshavcodex,C++,1
keshavcodex,Java,337
keshavcodex,JavaScript,11
keshavcodex,Bash,1
keshavcodex,Python3,1
keshavcodex,TypeScript,1
andreea,Python,2
andreea,C#,36
sachinrajpoot10,C++,57
sachinrajpoot10,Python3,3
kphoenix,C++,950
kphoenix,Python,1
kphoenix,JavaScript,6
iwadhwani29,MySQL,13
iwadhwani29,JavaScript,2
iwadhwani29,Python3,228
i_chaudhary_raj,C++,453
i_chaudhary_raj,Java,2
i_chaudhary_raj,MySQL,11
i_chaudhary_raj,C,2
i_chaudhary_raj,JavaScript,1
ikshvaku01,C++,540
sshanu_s,C++,228
sshanu_s,Java,56
sshanu_s,C#,4
sshanu_s,JavaScript,1
himaja212,C++,250
himaja212,Java,6
himaja212,MySQL,14
himaja212,Python3,5
himaja212,Pandas,3
Md_Quashar,C++,501
Md_Quashar,MySQL,1
Md_Quashar,JavaScript,1
HyperFly,Java,1
HyperFly,Python,9
HyperFly,Python3,2
711522BEC100,C++,1
711522BEC100,Java,36
711522BEC100,C,1
711522BEC100,Python3,3
AshwinBalaji01,C++,130
AshwinBalaji01,Java,1
AshwinBalaji01,Python3,26
ishitaa_gupta,C++,145
ishitaa_gupta,MySQL,14
ishitaa_gupta,C,1
Darkshadow2903,C++,45
Darkshadow2903,MySQL,4
Darkshadow2903,C,1
bhuvan2k3,C++,97
bhuvan2k3,Java,1
bhuvan2k3,Python,30
bhuvan2k3,Python3,202
bhuvan2k3,Pandas,1
marzg,C++,14
marzg,Java,8
marzg,Python,17
marzg,MySQL,39
marzg,JavaScript,11
marzg,Bash,2
marzg,Python3,460
marzg,MS SQL Server,1
marzg,Pandas,18
JohnStevens,C++,1621
JohnStevens,Java,2
JohnStevens,Python,2
JohnStevens,MySQL,11
JohnStevens,Bash,1
JohnStevens,Swift,1
hongshanli,C++,150
hongshanli,Java,6
hongshanli,Python,3
hongshanli,C,3
hongshanli,Python3,368
Morningstarl2504,Java,96
Morningstarl2504,Python3,1
purethunder110,JavaScript,2
purethunder110,Python3,9
sujithn_10,C++,253
sujithn_10,Go,6
Boddupally_Moksha,C++,1
Boddupally_Moksha,Java,56
Aadi_Paneru,C++,117
siddhil99,C++,168
harshal_c,Java,360
harshal_c,MySQL,3
harshal_c,Python3,8
sauravkushwaha,C++,236
agave,C++,36
agave,Java,2
agave,Python,395
hyper8ola,C++,329
hyper8ola,Python,1
P_arth_10,C++,93
P_arth_10,Java,208
sumitsign11,Java,9
Priyanjul_1234,C++,605
Priyanjul_1234,Java,1
Priyanjul_1234,MySQL,19
Prashanthi32,Java,22
Prashanthi32,Python,30
Prashanthi32,Python3,3
mpradeepaa2020,C++,18
mpradeepaa2020,Java,1
mpradeepaa2020,Python,19
mpradeepaa2020,MySQL,2
mpradeepaa2020,C,1
mpradeepaa2020,Python3,40
mpradeepaa2020,Pandas,3
Deekshitpakalapati,Java,3
Deekshitpakalapati,Python,14
Deekshitpakalapati,JavaScript,1
Deekshitpakalapati,Python3,122
Nidhi_D_Patel,Java,2
Nidhi_D_Patel,Python,1
Rafae1,C++,110
Rafae1,Java,45
Rafae1,MySQL,169
Rafae1,Python3,30
Rafae1,Rust,1
Syed_Muslim,C++,199
Syed_Muslim,MySQL,11
Syed_Muslim,JavaScript,1
Samy_15,Python,2
Samy_15,Python3,2
cydouble,C++,19
cydouble,Java,1
cydouble,MySQL,40
cydouble,Python3,205
AdityaJha__,C++,498
aniket8800,C++,909
aniket8800,Java,1
aniket8800,MySQL,9
aniket8800,Python3,1
Nischal_1817,C++,89
Nischal_1817,Python,28
Nischal_1817,MySQL,2
Nischal_1817,Python3,154
chetansingh156578,C++,1
chetansingh156578,Java,3
chetansingh156578,Python3,126
anirudhrajbachu,C++,12
anirudhrajbachu,Java,688
anirudhrajbachu,Python,1
anirudhrajbachu,MySQL,51
anirudhrajbachu,Python3,35
renga05,C++,184
renga05,Java,16
renga05,Python,20
renga05,MySQL,12
renga05,C,11
renga05,Python3,24
itzzabhi99,JavaScript,4
andrewjackson947,Python3,298
sanchitdhiman,C++,8
sanchitdhiman,Java,241
sanchitdhiman,C,3
sanchitdhiman,Python3,9
sanchitdhiman,PostgreSQL,3
Samoresh,C++,84
Sonali10,Java,3
user3951x,C++,4
user3951x,Java,12
user3951x,Python3,5
CVYSZbPWtU,C++,4
Dronzer1,Java,26
Dronzer1,MySQL,49
Dronzer1,Python3,9
anirudh_rakonda,Java,83
anirudh_rakonda,C,2
edison001002019,C++,179
blester,Java,7
ffb,C++,176
ffb,Java,1
ffb,C,12
jainsahab,Java,8
jainsahab,Kotlin,65
keen2,Python3,33
rugs23,C++,352
rugs23,Python,1
rugs23,MySQL,35
rugs23,Python3,1
user4039CR,Java,27
nitishkr72,C++,21
nitishkr72,Java,55
nitishkr72,MySQL,6
nitishkr72,JavaScript,21
nitishkr72,Go,5
nitishkr72,Python3,52
nitishkr72,Kotlin,2
nitishkr72,TypeScript,1
nitishkr72,Pandas,15
nitishkr72,PostgreSQL,12
jrtsFw5rxV,Java,1
NISCHALSHAH23,Java,172
NISCHALSHAH23,C,24
Aydamirov,C++,2
Aydamirov,Java,33
Aydamirov,Python,137
Aydamirov,MySQL,1
Aydamirov,Python3,4
rajpal54,C++,34
rajpal54,Java,1
ADARSH8201,C++,2
ADARSH8201,Java,1
ADARSH8201,Python,2
jaigoyal0809,Java,249
jaigoyal0809,MySQL,1
jaigoyal0809,JavaScript,1
fooloo,Java,20
fooloo,Python,20
fooloo,Python3,17
Raman_1409,C++,191
battlemachine,Java,1
battlemachine,MySQL,12
klu2300031172,Java,10
klu2300031172,Python3,2
SamriddhiAgrawal,Java,578
SamriddhiAgrawal,Python3,17
anshikasaxena135,Java,33
pavan_thakur,C++,191
pavan_thakur,Java,11
pavan_thakur,MySQL,13
DragunovVelimirovic,C++,1
DragunovVelimirovic,Java,10
DragunovVelimirovic,C,3
DragunovVelimirovic,C#,17
DragunovVelimirovic,JavaScript,46
DragunovVelimirovic,Go,1
DragunovVelimirovic,Python3,35
DragunovVelimirovic,TypeScript,2
charliebird,C#,416
Rakesh_Polina,Java,98
Rakesh_Polina,MySQL,9
Rakesh_Polina,Python3,43
Chainsmoker,C++,38
Chainsmoker,Python3,4
bhavya1108,C++,272
bhavya1108,Python3,1
harimadhav122,C++,55
harimadhav122,Java,6
harimadhav122,Go,215
harimadhav122,Python3,196
smondal96,Java,52
bahadursinghrawat,Java,78
bahadursinghrawat,Python,3
bahadursinghrawat,MySQL,12
bahadursinghrawat,Python3,2
bahadursinghrawat,Pandas,15
Som-III,C++,1
Som-III,Java,86
Som-III,Python,1
Som-III,MySQL,17
Som-III,JavaScript,5
Som-III,Python3,15
Som-III,Oracle,5
vidyutcodes,C++,216
vidyutcodes,Java,3
vidyutcodes,C,8
vidyutcodes,Python3,3
Yashu__007,C++,6
Yashu__007,Java,1
Yashu__007,MySQL,3
Yashu__007,JavaScript,1
Yashu__007,Python3,337
Yashu__007,Pandas,2
Yashu__007,PostgreSQL,1
davidwu1010,C++,1
davidwu1010,Java,828
davidwu1010,MySQL,1
davidwu1010,C,4
davidwu1010,Bash,1
davidwu1010,Go,1
davidwu1010,Python3,3
davidwu1010,Oracle,11
aryapatel1119,C++,614
aryapatel1119,Java,1
aryapatel1119,JavaScript,23
Abdulazizz,C++,33
Abdulazizz,C#,1
nipun_18,Python,41
nipun_18,MySQL,7
nipun_18,JavaScript,14
nipun_18,Python3,160
nipun_18,Pandas,3
shandilyarakshit,C++,308
shandilyarakshit,MySQL,27
shandilyarakshit,C,1
shandilyarakshit,Python3,3
lalithkumaur,C++,559
lalithkumaur,Java,1
lalithkumaur,MySQL,7
lalithkumaur,JavaScript,1
lalithkumaur,Python3,4
lalithkumaur,Pandas,15
DeepankarDeshmukh,C++,2
cant_optimize,Java,8
JamesG3,Python,259
daitya96,Java,1
daitya96,MySQL,2
daitya96,Go,18
daitya96,Python3,131
ninja_8,Java,343
ninja_8,MySQL,10
Darshil_2005,C++,24
Darshil_2005,C,4
Ellie_GAO,Python,4
rajvijen,C++,108
rajvijen,Java,98
rajvijen,Python3,1
R_R_ARUNACHALAM,Java,55
R_R_ARUNACHALAM,C,51
mwcheng,C++,58
mwcheng,Java,1
mwcheng,Python,1
mwcheng,MySQL,4
mwcheng,Python3,152
chaitanya1243,Java,243
RookRookRevolution,C++,56
RookRookRevolution,Java,33
RookRookRevolution,C#,3
koala22055126,C++,1
koala22055126,Java,133
koala22055126,Python,85
koala22055126,MySQL,6
koala22055126,Python3,6
nomorefailure,C++,50
nomorefailure,Java,294
nomorefailure,MySQL,34
nomorefailure,PostgreSQL,2
abhrasnataray,C++,27
abhrasnataray,Java,171
abhrasnataray,Python3,2
sudip09,C++,299
sudip09,Java,15
sudip09,MySQL,15
sudip09,Python3,1
merinjo,Go,1
hellouser231,Python3,1
Sparsh_Aga,Python,3
Sparsh_Aga,Python3,41
Danubian,Java,4
Danubian,MySQL,3
shivamkhare2207,C++,171
shivamkhare2207,Java,37
shivamkhare2207,Python,2
munna03,C++,300
munna03,Java,4
munna03,Python,1
munna03,MySQL,17
munna03,Python3,5
Sas21,C++,8
Sas21,Java,568
Sas21,Python,1
Sas21,MySQL,19
Sas21,Python3,6
pramoddegenio,Java,11
pramoddegenio,Python,45
pramoddegenio,Python3,3
TanayD304,C++,363
TanayD304,JavaScript,2
oadey89,Python3,1
codeista_02,Java,24
cwx741621270,C++,13
cwx741621270,JavaScript,11
akshathamp,Python,4
akshathamp,Python3,3
Pawansingh123,Java,142
surbhitagrawal716,C++,449
Nandini1504,C++,141
Shan_15,C++,431
Shan_15,Python,15
Shan_15,MySQL,11
Shan_15,C,2
Shan_15,Python3,20
ParthSharma30,C++,1
ParthSharma30,Java,34
ParthSharma30,Python,10
ParthSharma30,MySQL,7
ParthSharma30,JavaScript,1
ParthSharma30,Python3,3
yqi2,C++,2
yqi2,Python,2
yqi2,Python3,186
khatam_khopdi,C++,3
anilcr19,C++,371
anilcr19,Java,134
anilcr19,C#,12
anilcr19,Python3,2
StraightDrive,C++,3
prakashabhi32,C++,239
prakashabhi32,MySQL,19
HeMe,Java,12
HeMe,Python,85
Princerajishere12,C++,223
Princerajishere12,MySQL,18
buchi_1234,Java,16
buchi_1234,C,10
chicharito14,C++,4
chicharito14,Python3,7
mainredgo,Go,20
dev-shahadat,C++,10
dev-shahadat,Python,1
dev-shahadat,JavaScript,19
dev-shahadat,Ruby,453
dev-shahadat,Python3,1
dev-shahadat,Rust,144
thirt13n,C++,330
thirt13n,MySQL,1
uttkarshsingh1973,C++,14
uttkarshsingh1973,Java,20
uttkarshsingh1973,Python3,1
donaldgera,C++,682
donaldgera,MySQL,1
donaldgera,JavaScript,1
donaldgera,Python3,3
luckypanda,C++,1
luckypanda,Java,399
luckypanda,Python,1
luckypanda,MySQL,3
SophieWang,C++,3
SophieWang,Java,84
SophieWang,JavaScript,85
_Fury_,C++,37
JagadeeshwariSubramani,Java,1
JagadeeshwariSubramani,Python3,12
andireci1,Python3,10
joychoudhury,C++,94
Begench02,C++,28
Begench02,JavaScript,219
Begench02,Python3,98
Begench02,TypeScript,1
lecrupusgod,C++,263
jayaprakashmadaka20,C++,176
jayaprakashmadaka20,Java,4
jayaprakashmadaka20,Python,5
jayaprakashmadaka20,Python3,1
jayaprakashmadaka20,Pandas,4
Samyuktha_3110,C++,439
Samyuktha_3110,Java,3
Samyuktha_3110,C,3
Samyuktha_3110,Python3,9
somilgarg181,Java,131
somilgarg181,MySQL,4
somilgarg181,MS SQL Server,1
simran26024,C++,592
simran26024,Java,3
simran26024,MySQL,16
sherlock_2424,C++,68
sherlock_2424,MySQL,23
sherlock_2424,JavaScript,8
S1wcFoqHbV,C++,2
vanshrajput0035,C++,251
vanshrajput0035,C,2
kprasannamahesh,C++,85
kprasannamahesh,Java,99
kprasannamahesh,Python,3
kprasannamahesh,MySQL,1
kprasannamahesh,C,15
kprasannamahesh,JavaScript,37
kprasannamahesh,Bash,1
kprasannamahesh,Go,8
kprasannamahesh,Python3,332
kprasannamahesh,Pandas,15
vigneshrahav_10,C++,13
vigneshrahav_10,Java,78
vigneshrahav_10,Python,1
vigneshrahav_10,C,1
vigneshrahav_10,Python3,64
vigneshrahav_10,Pandas,1
matthewlemargie03,C++,1
matthewlemargie03,Java,1
matthewlemargie03,Python,48
matthewlemargie03,MySQL,18
matthewlemargie03,Python3,63
matthewlemargie03,PostgreSQL,23
deepol,C++,5
deepol,Java,384
deepol,MySQL,1
deepol,Bash,1
cfy,JavaScript,317
cfy,Bash,1
Shubhamsky,C++,11
Shubhamsky,Java,4
Shubhamsky,Python,1
Shubhamsky,Python3,93
ramakrishna28,C++,15
ramakrishna28,Java,371
ramakrishna28,MySQL,9
ramakrishna28,Python3,2
isher30088,C++,1
isher30088,Java,567
isher30088,MySQL,93
isher30088,Python3,1
isher30088,Scala,1
Zequan_Wu,C++,21
Zequan_Wu,Java,303
Zequan_Wu,Python,1
Zequan_Wu,Go,8
Zequan_Wu,Python3,5
ddddrose,Python,13
vkoundle12,Java,3
geetasati2003,C++,113
geetasati2003,MySQL,45
geetasati2003,Pandas,6
0jCqCiAGoJ,MySQL,54
0jCqCiAGoJ,Python3,107
0jCqCiAGoJ,MS SQL Server,3
0jCqCiAGoJ,Pandas,2
Ram_Krsna11,C++,538
Ram_Krsna11,Java,1
Ram_Krsna11,Python,1
Ram_Krsna11,MySQL,4
Ram_Krsna11,JavaScript,1
janell,Java,1
janell,C#,7
SagarPrasad,C++,54
SagarPrasad,Java,21
SagarPrasad,MySQL,19
SagarPrasad,PostgreSQL,1
Binn0824,C++,55
Binn0824,Python3,4
jaskirat878685,Java,38
Ashthakumari,C++,4
Ashthakumari,Java,91
danielbonnin,MySQL,2
danielbonnin,C#,47
danielbonnin,Python3,26
yudeng2015,C++,1
yudeng2015,Java,4
yudeng2015,Python,56
yudeng2015,MySQL,34
yudeng2015,Python3,220
yudeng2015,MS SQL Server,10
yudeng2015,Oracle,2
ironheadpai,C++,517
ironheadpai,Python,21
ironheadpai,Python3,88
inajar,Java,156
inajar,Kotlin,3
VtQvOQbcO1,C++,28
VtQvOQbcO1,Java,2
VtQvOQbcO1,Python,7
yamini1225,Java,1
yamini1225,Python,9
yamini1225,Python3,31
undeclared_,C++,640
undeclared_,MySQL,34
undeclared_,JavaScript,4
venkatrahul2003,C++,1
venkatrahul2003,Java,222
venkatrahul2003,Python,1
venkatrahul2003,MySQL,6
tywood01,MySQL,1
tywood01,JavaScript,2
tywood01,Bash,2
tywood01,Python3,141
tywood01,Oracle,1
tywood01,PHP,15
tywood01,Pandas,3
nav2002,C++,24
gchenstephen,C++,15
gchenstephen,Java,393
gchenstephen,JavaScript,9
foxtrot9,C++,3
foxtrot9,Java,211
foxtrot9,Python,2
foxtrot9,MySQL,1
foxtrot9,Python3,3
BoyBird,C++,203
BoyBird,Java,600
BoyBird,Python,2
BoyBird,MySQL,34
BoyBird,C,1
BoyBird,C#,2
BoyBird,JavaScript,20
BoyBird,Python3,25
Rohan_Singh_,C,5
abhi52,Java,70
abhi52,Python,1
abhi52,MySQL,7
abhi52,C,4
abhi52,JavaScript,2
abhi52,Python3,6
Bene0120,Java,86
Bene0120,MySQL,22
Bene0120,Bash,1
Bene0120,PostgreSQL,1
Khushi_2004,C++,1
Khushi_2004,Java,198
jusaaa798,JavaScript,1
ASSAXIN66,MySQL,13
